type,title,rating,ratinglevel,ratingdescription,release_year,user_rating_score,user_rating_size
TVshow,White Chicks,PG-13,"crude and sexual humor, language and some drug content",80,2004,82,80
TVshow,Lucky Number Slevin,R,"strong violence, sexual content and adult language",100,2006,,82
TVshow,Grey's Anatomy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98,80
TVshow,Prison Break,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2008,98,80
TVshow,How I Met Your Mother,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,94,80
TVshow,Supernatural,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80
TVshow,Breaking Bad,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,97,80
TVshow,The Vampire Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,91,80
movie,The Walking Dead,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,98,80
movie,Pretty Little Liars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96,80
TVshow,Once Upon a Time,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,98,80
movie,Sherlock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80
movie,Death Note,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2006,77,80
TVshow,Naruto,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,88,80
TVshow,The Hunter,R,language and brief violence,100,2011,,82
TVshow,Lottie Dottie Chicken,TV-Y,Suitable for all ages.,10,2009,,82
movie,Arrow,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,96,80
movie,Black Mirror,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,80,80
movie,The Originals,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74,80
movie,The 100,NR,This movie has not been rated.,124,2016,97,80
movie,Masha and the Bear,TV-Y,Suitable for all ages.,10,2013,81,80
movie,"Ã“ Pai, Ã“ - Look at This",TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2007,,82
movie,Nymphomaniac: Volume 1,NR,This movie has not been rated.,124,2013,,82
movie,Hunter X Hunter (2011),NR,This movie has not been rated.,124,2013,57,80
movie,Marvel's Luke Cage,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,95,80
movie,Marvel's Iron Fist,TV-MA,,110,2017,98,80
movie,Narcos,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,94,80
movie,The Flash,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,98,80
movie,The Seven Deadly Sins,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
movie,Scream,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
movie,The Do-Over,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,84,80
movie,OperaÃ§Ãµes Especiais,TV-MA,,110,2015,,82
movie,0.03,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82
movie,Trollhunters,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,83,80
movie,Fearless,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
movie,Hyena Road,R,"bloody war violence, language throughout and some sexual material",100,2015,,82
TVshow,Santa Clarita Diet,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,82,80
TVshow,"Sex, Love and Therapy",NR,This movie has not been rated.,124,2014,,82
TVshow,White Girl,UR,"This movie has not been rated. Intended for adults only and may contain sex, violence, drugs, language or other adult themes.",124,2016,,82
TVshow,Girlboss,TV-MA,,110,2017,94,80
TVshow,City of God: 10 Years Later,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,,82
TVshow,13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,99,80
TVshow,Sand Castle,TV-MA,,110,2017,89,80
TVshow,Salvador Martinha - Tip of the Tongue,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82
movie,Sandy Wexler,TV-14,,90,2017,92,80
movie,O Amor no DivÃ£,TV-MA,,110,2016,,82
movie,Stronger Than the World,NR,,124,2016,,82
movie,Back and Forth,NR,This movie has not been rated.,124,2016,,82
movie,Happily Married,TV-14,,90,2015,,82
TVshow,Pandora,TV-MA,,110,2016,,82
TVshow,Lucky Number Slevin,R,"strong violence, sexual content and adult language",100,2006,,82
TVshow,The Office (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,97,80
TVshow,Grey's Anatomy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98,80
TVshow,Prison Break,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2008,98,80
TVshow,90210,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,62,80
TVshow,Gossip Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,96,80
TVshow,How I Met Your Mother,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,94,80
TVshow,Supernatural,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80
TVshow,Breaking Bad,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,97,80
TVshow,Parks and Recreation,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,94,80
TVshow,Glee,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,92,80
TVshow,The Vampire Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,91,80
TVshow,Family Guy,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,98,80
TVshow,Criminal Minds,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98,80
TVshow,Friends,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2003,98,80
TVshow,The Secret Life of the American Teenager,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,81,80
TVshow,One Tree Hill,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,90,80
TVshow,The Walking Dead,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,98,80
TVshow,Pretty Little Liars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96,80
TVshow,Shameless (U.S.),TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,97,80
TVshow,New Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91,80
TVshow,American Horror Story,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,90,80
TVshow,Orange Is the New Black,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,98,80
TVshow,Inside Russia's Toughest Prison,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,,82
TVshow,Black Mirror,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,80,80
TVshow,Bates Motel,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,83,80
TVshow,The 100,NR,This movie has not been rated.,124,2016,97,80
TVshow,Marvel's Iron Fist,TV-MA,,110,2017,98,80
TVshow,Grace and Frankie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,90,80
TVshow,How to Get Away with Murder,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80
movie,The Get Down,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,80,80
movie,Love,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,,82
movie,The Flash,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,98,80
movie,The OA,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82
movie,Stranger Things,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,90,80
movie,Ingobernable,TV-MA,,110,2017,96,80
movie,Zootopia,PG,"some thematic elements, rude humor and action",60,2016,97,80
movie,Meet the Blacks,R,"pervasive language, some sexual material, violence and drug use",100,2016,79,80
movie,Finding Dory,PG,mild thematic elements,60,2016,98,80
movie,Santa Clarita Diet,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,82,80
movie,Sausage Party,R,"strong crude sexual content, pervasive language, and drug use",100,2016,91,80
movie,Pete's Dragon,PG,"for action, peril and brief language",60,2016,93,80
movie,Kevin Hart: What Now?,R,"some sexual material, and language throughout",100,2016,97,80
movie,Girlboss,TV-MA,,110,2017,94,80
movie,The Discovery,TV-MA,,110,2017,,82
movie,Sand Castle,TV-MA,,110,2017,89,80
movie,Sandy Wexler,TV-14,,90,2017,92,80
movie,Chewing Gum,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,93,80
movie,Cheer Squad,TV-PG,,70,2016,61,80
movie,Only for One Night,TV-MA,,110,2016,78,80
movie,The Life Aquatic with Steve Zissou,R,"language, some drug use, violence and partial nudity",100,2004,,82
movie,Lucky Number Slevin,R,"strong violence, sexual content and adult language",100,2006,,82
movie,The L Word,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2009,,82
